,Code,Name,Market,Sector,Industry,Products,ListingDate,SettleMonth,Representative,HomePage,Region
2168,358570,지아이이노베이션,KOSDAQ,기술성장기업부,,,,,,,
2169,382480,지아이텍,KOSDAQ,벤처기업부,,,,,,,
2170,382800,지앤비에스 에코,KOSDAQ,우량기업부,,,,,,,
2171,299480,지앤이헬스케어,KONEX,일반기업부,,,,,,,
2172,051160,지어소프트,KOSDAQ,중견기업부,,,,,,,
2173,053050,지에스이,KOSDAQ,우량기업부,,,,,,,
2174,076340,지에이이노더스,KONEX,일반기업부,,,,,,,
2175,388610,지에프씨생명과학,KOSDAQ,기술성장기업부,,,,,,,
2176,493330,지에프아이,KOSDAQ,벤처기업부,,,,,,,
2177,119850,지엔씨에너지,KOSDAQ,우량기업부,,,,,,,
2178,065060,지엔코,KOSDAQ,중견기업부,,,,,,,
2179,204840,지엘팜텍,KOSDAQ,기술성장기업부,,,,,,,
2180,013870,지엠비코리아,KOSPI,,,,,,,,
2181,071320,지역난방공사,KOSPI,,,,,,,,
2182,311320,지오엘리먼트,KOSDAQ,기술성장기업부,,,,,,,
2183,456160,지투지바이오,KOSDAQ,기술성장기업부,,,,,,,
2184,388050,지투파워,KOSDAQ,우량기업부,,,,,,,
2185,088790,진도,KOSPI,,,,,,,,
2186,018120,진로발효,KOSDAQ,우량기업부,,,,,,,
2187,109820,진매트릭스,KOSDAQ,기술성장기업부,,,,,,,
2188,086060,진바이오텍,KOSDAQ,중견기업부,,,,,,,
2189,036890,진성티이씨,KOSDAQ,우량기업부,,,,,,,
2190,363250,진시스템,KOSDAQ,기술성장기업부,,,,,,,
2191,003780,진양산업,KOSPI,,,,,,,,
2192,007370,진양제약,KOSDAQ,우량기업부,,,,,,,
2193,010640,진양폴리,KOSPI,,,,,,,,
2194,100250,진양홀딩스,KOSPI,,,,,,,,
2195,051630,진양화학,KOSPI,,,,,,,,
2196,272450,진에어,KOSPI,,,,,,,,
2197,285800,진영,KOSDAQ,벤처기업부,,,,,,,
2198,011000,진원생명과학,KOSPI,,,,,,,,
