Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2005-07-01,130.59,1,1.16,0.009000000000000001,128.8,130.6,128.56,116055191.0,1789410976095.0,412091891248575.0
2005-07-04,130.95,1,0.36,0.0028000000000000004,131.16,131.39,130.62,139345335.0,1881544077681.0,413245042725625.0
2005-07-05,130.54,2,-0.41,-0.0031,131.12,131.47,130.37,132088312.0,1822867964560.0,411838266815870.0
2005-07-06,130.65,1,0.11,0.0008,131.15,131.36,130.29,164605510.0,2220647023295.0,411806791114975.0
2005-07-07,131.72,1,1.07,0.008199999999999999,130.24,132.05,130.15,137716816.0,2127753501535.0,415148771253680.0
2005-07-08,131.28,2,-0.44,-0.0033,131.85,132.19,131.09,133509362.0,1898777773461.0,413471991935230.0
2005-07-11,133.88,1,2.6,0.019799999999999998,132.99,134.29,132.87,205636498.0,2739113002573.0,421281396976960.0
2005-07-12,134.26,1,0.38,0.0028000000000000004,134.88,135.19,134.08,187324378.0,2882156397005.0,422857401200165.0
2005-07-13,135.25,1,0.99,0.0074,134.79,135.36,134.03,162699805.0,2223372068910.0,425719302459220.0
2005-07-14,136.98,1,1.73,0.0128,136.09,137.35,135.61,183262031.0,2999594815410.0,430990034852440.0
2005-07-15,136.48,2,-0.5,-0.0037,137.37,137.55,136.27,153320043.0,2365814130156.0,429614343827945.0
2005-07-18,136.78,1,0.3,0.0022,136.73,137.73,136.1,138987577.0,2924180367960.0,430454072841420.0
2005-07-19,138.66,1,1.88,0.0137,136.76,138.66,136.74,160622807.0,2711486942281.0,435833303420175.0
2005-07-20,138.57,2,-0.09,-0.0006,138.84,140.13,137.81,218359886.0,3468523199242.0,435491234695935.0
2005-07-21,138.62,1,0.05,0.0004,139.78,140.13,137.77,164827978.0,2687409680985.0,435640479612895.0
2005-07-22,138.37,2,-0.25,-0.0018,137.63,138.86,137.06,178140168.0,3201045245410.0,435392942908555.0
2005-07-25,140.55,1,2.18,0.0158,138.6,140.59,138.39,142729752.0,2370434825920.0,442064089944260.0
