,Code,Name,Close,RateCode,STR_CMP_PRC,Rate,Marcap,IDX_ID
721,002760,보락,1015,1,13,1.3,60798500000,
722,002780,진흥기업,7500,1,170,2.32,109103805000,
723,002820,SUN&L,1564,2,-63,-3.87,18866851056,
724,002870,신풍,1101,1,9,0.82,38489528700,
725,002880,디와이에이,3860,1,95,2.52,36109524140,
726,002920,유성기업,1839,1,3,0.16,47717452500,
727,003010,혜인,9300,1,200,2.2,118228547100,
728,003060,에이프로젠바이오로직스,1662,2,-9,-0.54,26574244854,
729,003070,코오롱글로벌,9310,1,190,2.08,236697058290,
730,003080,SB성보,2235,2,-5,-0.22,44744700000,
731,003200,일신방직,10440,2,-140,-1.32,239702400000,
732,003220,대원제약,8020,1,50,0.63,179869215660,
733,003460,유화증권,3050,2,-15,-0.49,172942365750,
734,003480,한진중공업홀딩스,4730,1,10,0.21,139676010760,
735,003520,영진약품,1067,2,-6,-0.56,195146543977,
736,003580,HLB글로벌,1651,1,12,0.73,83645446755,
737,003610,방림,5850,1,110,1.92,187848051300,
738,003650,미창석유,131700,1,1200,0.92,229114802400,
739,003680,한성기업,4945,1,205,4.32,30706051675,
740,003720,삼영,6260,1,90,1.46,212840000000,
741,003780,진양산업,3905,2,-25,-0.64,50765000000,
742,003830,대한화섬,114200,3,0,0.0,151657600000,
743,003920,남양유업,43150,1,250,0.58,244809238050,
744,003960,사조대림,28950,2,-150,-0.52,265311319650,
745,004060,SG세계물산,2245,2,-10,-0.44,45444403520,
746,004080,신흥,13940,2,-120,-0.85,129642000000,
747,004090,한국석유,13000,1,260,2.04,165023560000,
748,004100,태양금속,2785,2,-75,-2.62,102209500000,
749,004140,동방,1815,1,7,0.39,87068755290,
750,004150,한솔홀딩스,3565,1,30,0.85,146259900300,
751,004250,NPC,2990,2,-10,-0.33,109792800000,
752,004270,남성,5160,1,100,1.98,23530260480,
753,004360,세방,13660,1,110,0.81,261119136980,
754,004380,삼익THK,7900,2,-50,-0.63,163530000000,
755,004410,서울식품,1229,1,5,0.41,48490210977,
756,004440,삼일씨엔에스,5120,2,-30,-0.58,65187568640,
757,004450,삼화왕관,27200,3,0,0.0,58599108800,
758,004540,깨끗한나라,1249,1,23,1.88,46513625557,
759,004560,현대비앤지스틸,12000,3,0,0.0,180945732000,
760,004720,팜젠사이언스,3045,1,10,0.33,68982541425,
761,004770,써니전자,2160,3,0,0.0,76696066080,
762,004830,덕성,3340,3,0,0.0,52371200000,
